gene_id	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
XLOC_003355	C1	C2	OK	93.7628	182.417	0.960154	5.74293	5e-05	0.00157081	yes
XLOC_003373	C1	C2	OK	33.5525	64.7753	0.949022	5.36648	5e-05	0.00157081	yes
XLOC_003431	C1	C2	OK	118.436	251.581	1.08691	6.82625	5e-05	0.00157081	yes
XLOC_003459	C1	C2	OK	170.93	237.499	0.474514	3.08199	5e-05	0.00157081	yes
XLOC_003524	C1	C2	OK	757.404	1103.88	0.543447	2.5593	5e-05	0.00157081	yes
XLOC_003549	C1	C2	OK	61.2848	142.096	1.21327	7.88413	5e-05	0.00157081	yes
XLOC_003737	C1	C2	OK	231.648	603.253	1.38083	8.25218	5e-05	0.00157081	yes
XLOC_003862	C1	C2	OK	197.769	252.284	0.351235	1.99937	0.00025	0.00741327	yes
XLOC_003865	C1	C2	OK	85.6685	185.907	1.11774	5.58551	5e-05	0.00157081	yes
XLOC_004027	C1	C2	OK	106.183	288.067	1.43984	6.06689	5e-05	0.00157081	yes
XLOC_004124	C1	C2	OK	63.1913	90.0622	0.511197	2.57105	5e-05	0.00157081	yes
XLOC_004142	C1	C2	OK	28.1718	59.9461	1.08941	6.28406	5e-05	0.00157081	yes
XLOC_004174	C1	C2	OK	23.6037	43.1193	0.869317	4.74412	5e-05	0.00157081	yes
XLOC_004197	C1	C2	OK	676.68	949.397	0.488538	2.59047	5e-05	0.00157081	yes
XLOC_004287	C1	C2	OK	97.9967	143.175	0.546979	2.30336	5e-05	0.00157081	yes
XLOC_004452	C1	C2	OK	58.5454	89.8884	0.61858	3.78029	5e-05	0.00157081	yes
XLOC_004482	C1	C2	OK	85.185	141.434	0.73146	4.91745	5e-05	0.00157081	yes
XLOC_004668	C1	C2	OK	77.6939	143.067	0.880821	5.74651	5e-05	0.00157081	yes
XLOC_004712	C1	C2	OK	38.1026	55.2295	0.53555	3.07528	5e-05	0.00157081	yes
XLOC_004719	C1	C2	OK	199.962	261.639	0.387851	2.20307	0.00015	0.0045644	yes
XLOC_004846	C1	C2	OK	167.678	297.833	0.828813	4.64043	5e-05	0.00157081	yes
XLOC_004867	C1	C2	OK	103.871	170.762	0.71719	4.39785	5e-05	0.00157081	yes
XLOC_005327	C1	C2	OK	179.188	279.689	0.642349	4.18861	5e-05	0.00157081	yes
XLOC_005342	C1	C2	OK	32.3082	58.0953	0.846521	2.87499	5e-05	0.00157081	yes
XLOC_005364	C1	C2	OK	32.0012	68.9601	1.10764	4.74549	5e-05	0.00157081	yes
XLOC_005365	C1	C2	OK	105.522	222.431	1.07581	7.57808	5e-05	0.00157081	yes
XLOC_005389	C1	C2	OK	79.7461	189.479	1.24855	6.12009	5e-05	0.00157081	yes
